ts_utc,power_w,temp_c,sm_clock_mhz,power_limit_w
2026-02-24T16:54:37Z,80.737000,39.000000,345.000000,700.000000
2026-02-24T16:54:38Z,80.758000,39.000000,345.000000,700.000000
2026-02-24T16:54:39Z,80.741000,39.000000,345.000000,700.000000
2026-02-24T16:54:40Z,80.751000,39.000000,345.000000,700.000000
2026-02-24T16:54:41Z,80.783000,39.000000,345.000000,700.000000
2026-02-24T16:54:42Z,80.738000,39.000000,345.000000,700.000000
2026-02-24T16:54:43Z,80.743000,39.000000,345.000000,700.000000
2026-02-24T16:54:44Z,80.724000,39.000000,345.000000,700.000000
2026-02-24T16:54:45Z,80.739000,39.000000,345.000000,700.000000
2026-02-24T16:54:46Z,80.721000,39.000000,345.000000,700.000000
2026-02-24T16:54:47Z,80.741000,39.000000,345.000000,700.000000
2026-02-24T16:54:48Z,80.722000,39.000000,345.000000,700.000000
2026-02-24T16:54:49Z,80.725000,39.000000,345.000000,700.000000
2026-02-24T16:54:50Z,80.741000,39.000000,345.000000,700.000000
2026-02-24T16:54:51Z,80.737000,39.000000,345.000000,700.000000
2026-02-24T16:54:52Z,80.764000,39.000000,345.000000,700.000000
2026-02-24T16:54:53Z,80.711000,39.000000,345.000000,700.000000
2026-02-24T16:54:54Z,80.773000,39.000000,345.000000,700.000000
2026-02-24T16:54:55Z,80.737000,39.000000,345.000000,700.000000
2026-02-24T16:54:56Z,80.766000,39.000000,345.000000,700.000000
2026-02-24T16:54:57Z,80.724000,39.000000,345.000000,700.000000
2026-02-24T16:54:58Z,80.740000,39.000000,345.000000,700.000000
2026-02-24T16:54:59Z,80.757000,39.000000,345.000000,700.000000
2026-02-24T16:55:00Z,80.681000,39.000000,345.000000,700.000000
2026-02-24T16:55:01Z,80.774000,39.000000,345.000000,700.000000
2026-02-24T16:55:02Z,80.782000,39.000000,345.000000,700.000000
2026-02-24T16:55:03Z,80.723000,39.000000,345.000000,700.000000
2026-02-24T16:55:04Z,80.747000,39.000000,345.000000,700.000000
2026-02-24T16:55:05Z,80.833000,39.000000,345.000000,700.000000
2026-02-24T16:55:06Z,80.818000,39.000000,345.000000,700.000000
2026-02-24T16:55:07Z,80.730000,39.000000,345.000000,700.000000
2026-02-24T16:55:08Z,80.741000,39.000000,345.000000,700.000000
2026-02-24T16:55:09Z,80.734000,39.000000,345.000000,700.000000
2026-02-24T16:55:10Z,80.786000,39.000000,345.000000,700.000000
2026-02-24T16:55:11Z,80.752000,39.000000,345.000000,700.000000
2026-02-24T16:55:12Z,80.726000,39.000000,345.000000,700.000000
2026-02-24T16:55:13Z,80.697000,39.000000,345.000000,700.000000
2026-02-24T16:55:14Z,80.747000,39.000000,345.000000,700.000000
2026-02-24T16:55:15Z,80.717000,39.000000,345.000000,700.000000
2026-02-24T16:55:16Z,80.630000,39.000000,345.000000,700.000000
2026-02-24T16:55:17Z,80.724000,39.000000,345.000000,700.000000
2026-02-24T16:55:18Z,80.731000,39.000000,345.000000,700.000000
2026-02-24T16:55:19Z,80.788000,39.000000,345.000000,700.000000
2026-02-24T16:55:20Z,80.725000,39.000000,345.000000,700.000000
2026-02-24T16:55:21Z,80.715000,39.000000,345.000000,700.000000
2026-02-24T16:55:22Z,80.673000,39.000000,345.000000,700.000000
2026-02-24T16:55:23Z,80.668000,39.000000,345.000000,700.000000
2026-02-24T16:55:24Z,80.717000,39.000000,345.000000,700.000000
2026-02-24T16:55:25Z,80.670000,39.000000,345.000000,700.000000
2026-02-24T16:55:26Z,80.723000,39.000000,345.000000,700.000000
2026-02-24T16:55:27Z,80.739000,39.000000,345.000000,700.000000
2026-02-24T16:55:28Z,80.705000,39.000000,345.000000,700.000000
2026-02-24T16:55:29Z,80.670000,39.000000,345.000000,700.000000
2026-02-24T16:55:30Z,80.755000,39.000000,345.000000,700.000000
2026-02-24T16:55:31Z,80.734000,39.000000,345.000000,700.000000
2026-02-24T16:55:32Z,80.735000,39.000000,345.000000,700.000000
2026-02-24T16:55:33Z,80.663000,39.000000,345.000000,700.000000
2026-02-24T16:55:34Z,80.702000,39.000000,345.000000,700.000000
2026-02-24T16:55:35Z,80.682000,39.000000,345.000000,700.000000
2026-02-24T16:55:36Z,80.721000,39.000000,345.000000,700.000000
2026-02-24T16:55:37Z,80.668000,39.000000,345.000000,700.000000
2026-02-24T16:55:38Z,80.755000,39.000000,345.000000,700.000000
2026-02-24T16:55:39Z,80.712000,39.000000,345.000000,700.000000
2026-02-24T16:55:40Z,80.738000,39.000000,345.000000,700.000000
2026-02-24T16:55:41Z,80.721000,39.000000,345.000000,700.000000
2026-02-24T16:55:42Z,80.802000,39.000000,345.000000,700.000000
2026-02-24T16:55:43Z,80.707000,39.000000,345.000000,700.000000
2026-02-24T16:55:44Z,80.712000,39.000000,345.000000,700.000000
2026-02-24T16:55:45Z,80.779000,39.000000,345.000000,700.000000
2026-02-24T16:55:46Z,80.765000,39.000000,345.000000,700.000000
2026-02-24T16:55:47Z,80.735000,39.000000,345.000000,700.000000
2026-02-24T16:55:48Z,80.725000,39.000000,345.000000,700.000000
2026-02-24T16:55:49Z,80.727000,39.000000,345.000000,700.000000
2026-02-24T16:55:50Z,80.729000,39.000000,345.000000,700.000000
2026-02-24T16:55:51Z,80.743000,39.000000,345.000000,700.000000
2026-02-24T16:55:52Z,80.719000,39.000000,345.000000,700.000000
2026-02-24T16:55:53Z,80.739000,39.000000,345.000000,700.000000
2026-02-24T16:55:54Z,80.692000,39.000000,345.000000,700.000000
