ts_utc,gpu_index,gpu_name,gpu_uuid,temp_c,power_w,power_limit_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_clock_mhz,mem_used_mb,mem_total_mb,pstate
2026-02-23T17:53:52+00:00,0,,,30,76.07,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:53:53+00:00,0,,,30,76.09,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:53:54+00:00,0,,,30,76.077,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:53:55+00:00,0,,,30,76.084,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:53:56+00:00,0,,,30,76.018,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:53:57+00:00,0,,,30,76.071,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:53:58+00:00,0,,,30,76.068,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:53:59+00:00,0,,,30,76.059,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:00+00:00,0,,,30,76.09,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:01+00:00,0,,,30,76.077,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:02+00:00,0,,,30,76.114,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:03+00:00,0,,,30,76.053,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:04+00:00,0,,,30,76.106,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:05+00:00,0,,,30,76.095,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:06+00:00,0,,,30,76.07,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:07+00:00,0,,,30,76.089,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:08+00:00,0,,,30,76.063,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:09+00:00,0,,,30,76.051,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:10+00:00,0,,,30,76.072,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:11+00:00,0,,,30,76.029,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:12+00:00,0,,,30,76.131,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:13+00:00,0,,,30,76.087,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:14+00:00,0,,,30,76.053,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:15+00:00,0,,,30,76.065,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:16+00:00,0,,,30,76.089,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:17+00:00,0,,,30,76.041,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:18+00:00,0,,,30,76.073,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:19+00:00,0,,,30,76.088,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:20+00:00,0,,,30,76.086,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:54:21+00:00,0,,,30,76.049,700.0,0,0,345,3201,604.6875,143771.0,0
