ts_utc,power_w,temp_c,sm_clock_mhz,power_limit_w
2026-02-24T16:13:21Z,81.199000,39.000000,345.000000,700.000000
2026-02-24T16:13:22Z,81.187000,39.000000,345.000000,700.000000
2026-02-24T16:13:23Z,81.217000,39.000000,345.000000,700.000000
2026-02-24T16:13:24Z,81.208000,39.000000,345.000000,700.000000
2026-02-24T16:13:25Z,81.200000,39.000000,345.000000,700.000000
2026-02-24T16:13:26Z,81.205000,39.000000,345.000000,700.000000
2026-02-24T16:13:27Z,81.174000,39.000000,345.000000,700.000000
2026-02-24T16:13:28Z,81.177000,39.000000,345.000000,700.000000
2026-02-24T16:13:29Z,81.179000,39.000000,345.000000,700.000000
2026-02-24T16:13:30Z,81.175000,39.000000,345.000000,700.000000
2026-02-24T16:13:31Z,81.189000,39.000000,345.000000,700.000000
2026-02-24T16:13:32Z,81.197000,39.000000,345.000000,700.000000
2026-02-24T16:13:33Z,81.259000,39.000000,345.000000,700.000000
2026-02-24T16:13:34Z,81.220000,39.000000,345.000000,700.000000
2026-02-24T16:13:35Z,81.242000,39.000000,345.000000,700.000000
2026-02-24T16:13:36Z,81.221000,39.000000,345.000000,700.000000
2026-02-24T16:13:37Z,81.204000,39.000000,345.000000,700.000000
2026-02-24T16:13:38Z,81.221000,39.000000,345.000000,700.000000
2026-02-24T16:13:39Z,85.229000,39.000000,1980.000000,700.000000
2026-02-24T16:13:40Z,576.417000,56.000000,1365.000000,700.000000
2026-02-24T16:13:41Z,689.708000,58.000000,1515.000000,700.000000
2026-02-24T16:13:42Z,688.536000,60.000000,1425.000000,700.000000
2026-02-24T16:13:43Z,689.570000,61.000000,1425.000000,700.000000
2026-02-24T16:13:44Z,688.988000,62.000000,1440.000000,700.000000
2026-02-24T16:13:45Z,693.558000,62.000000,1455.000000,700.000000
2026-02-24T16:13:46Z,689.997000,63.000000,1440.000000,700.000000
2026-02-24T16:13:47Z,692.806000,63.000000,1470.000000,700.000000
2026-02-24T16:13:48Z,689.429000,64.000000,1485.000000,700.000000
2026-02-24T16:13:49Z,691.801000,65.000000,1515.000000,700.000000
2026-02-24T16:13:50Z,692.430000,65.000000,1440.000000,700.000000
2026-02-24T16:13:51Z,690.974000,65.000000,1485.000000,700.000000
2026-02-24T16:13:52Z,690.929000,66.000000,1470.000000,700.000000
2026-02-24T16:13:53Z,691.617000,66.000000,1485.000000,700.000000
2026-02-24T16:13:54Z,690.766000,66.000000,1440.000000,700.000000
2026-02-24T16:13:55Z,690.973000,67.000000,1455.000000,700.000000
2026-02-24T16:13:56Z,692.472000,67.000000,1455.000000,700.000000
2026-02-24T16:13:57Z,690.248000,67.000000,1500.000000,700.000000
2026-02-24T16:13:58Z,690.784000,67.000000,1485.000000,700.000000
2026-02-24T16:13:59Z,691.401000,68.000000,1485.000000,700.000000
2026-02-24T16:14:00Z,692.692000,67.000000,1500.000000,700.000000
2026-02-24T16:14:01Z,156.094000,52.000000,1980.000000,700.000000
2026-02-24T16:14:02Z,123.735000,50.000000,480.000000,700.000000
2026-02-24T16:14:03Z,85.071000,48.000000,345.000000,700.000000
2026-02-24T16:14:04Z,84.094000,48.000000,345.000000,700.000000
2026-02-24T16:14:05Z,84.501000,47.000000,345.000000,700.000000
2026-02-24T16:14:06Z,84.151000,47.000000,345.000000,700.000000
2026-02-24T16:14:07Z,84.028000,46.000000,345.000000,700.000000
2026-02-24T16:14:08Z,83.727000,46.000000,345.000000,700.000000
2026-02-24T16:14:09Z,83.595000,45.000000,345.000000,700.000000
2026-02-24T16:14:10Z,83.595000,45.000000,345.000000,700.000000
2026-02-24T16:14:11Z,83.595000,45.000000,345.000000,700.000000
2026-02-24T16:14:12Z,83.595000,45.000000,345.000000,700.000000
2026-02-24T16:14:13Z,83.595000,45.000000,345.000000,700.000000
