ts_utc,iters_per_sec
2026-02-23T20:00:44+00:00,1129.7463
2026-02-23T20:00:45+00:00,614.2318
2026-02-23T20:00:46+00:00,610.6075
2026-02-23T20:00:47+00:00,613.5386
2026-02-23T20:00:48+00:00,613.1804
2026-02-23T20:00:49+00:00,612.1990
2026-02-23T20:00:50+00:00,612.0279
2026-02-23T20:00:51+00:00,612.0597
2026-02-23T20:00:52+00:00,611.1300
2026-02-23T20:00:53+00:00,608.2437
2026-02-23T20:00:54+00:00,612.2233
2026-02-23T20:00:55+00:00,609.5123
2026-02-23T20:00:56+00:00,608.6712
2026-02-23T20:00:57+00:00,608.5538
2026-02-23T20:00:58+00:00,608.2931
2026-02-23T20:00:59+00:00,608.9329
2026-02-23T20:01:00+00:00,610.8614
2026-02-23T20:01:01+00:00,607.0900
2026-02-23T20:01:02+00:00,609.0933
2026-02-23T20:01:03+00:00,607.4356
2026-02-23T20:01:04+00:00,607.4582
2026-02-23T20:01:05+00:00,607.2908
2026-02-23T20:01:06+00:00,607.6220
2026-02-23T20:01:07+00:00,607.9925
2026-02-23T20:01:08+00:00,605.0185
2026-02-23T20:01:09+00:00,608.3905
2026-02-23T20:01:10+00:00,605.7763
2026-02-23T20:01:11+00:00,605.6656
2026-02-23T20:01:12+00:00,606.1618
2026-02-23T20:01:13+00:00,607.1432
2026-02-23T20:01:14+00:00,607.4793
2026-02-23T20:01:15+00:00,605.3463
2026-02-23T20:01:16+00:00,606.8070
2026-02-23T20:01:17+00:00,605.7591
2026-02-23T20:01:18+00:00,606.5897
2026-02-23T20:01:19+00:00,608.9297
2026-02-23T20:01:20+00:00,608.3730
2026-02-23T20:01:21+00:00,608.2025
2026-02-23T20:01:22+00:00,606.6193
2026-02-23T20:01:23+00:00,605.6786
2026-02-23T20:01:24+00:00,607.2033
2026-02-23T20:01:25+00:00,608.7715
2026-02-23T20:01:26+00:00,606.7623
2026-02-23T20:01:27+00:00,607.9610
2026-02-23T20:01:28+00:00,605.9983
2026-02-23T20:01:29+00:00,607.8364
2026-02-23T20:01:30+00:00,608.9930
2026-02-23T20:01:31+00:00,606.4085
2026-02-23T20:01:32+00:00,606.8692
2026-02-23T20:01:33+00:00,606.7091
2026-02-23T20:01:34+00:00,607.2485
2026-02-23T20:01:35+00:00,606.5758
2026-02-23T20:01:36+00:00,608.1815
2026-02-23T20:01:37+00:00,607.0545
2026-02-23T20:01:38+00:00,606.9955
2026-02-23T20:01:39+00:00,605.9565
2026-02-23T20:01:40+00:00,606.6766
2026-02-23T20:01:41+00:00,606.8374
2026-02-23T20:01:42+00:00,607.0747
2026-02-23T20:01:43+00:00,606.4468
2026-02-23T20:01:44+00:00,605.8053
2026-02-23T20:01:45+00:00,609.1011
2026-02-23T20:01:46+00:00,606.6467
2026-02-23T20:01:47+00:00,606.5198
2026-02-23T20:01:48+00:00,607.6621
2026-02-23T20:01:49+00:00,606.7539
2026-02-23T20:01:50+00:00,605.1414
2026-02-23T20:01:51+00:00,605.6725
2026-02-23T20:01:52+00:00,606.2168
2026-02-23T20:01:53+00:00,605.2725
2026-02-23T20:01:54+00:00,608.0698
2026-02-23T20:01:55+00:00,608.2490
2026-02-23T20:01:56+00:00,605.9051
2026-02-23T20:01:57+00:00,605.8040
2026-02-23T20:01:58+00:00,605.5519
2026-02-23T20:01:59+00:00,605.4920
2026-02-23T20:02:00+00:00,606.4868
2026-02-23T20:02:01+00:00,605.6304
2026-02-23T20:02:02+00:00,605.9840
2026-02-23T20:02:03+00:00,605.2878
2026-02-23T20:02:04+00:00,605.4655
2026-02-23T20:02:05+00:00,605.9808
2026-02-23T20:02:06+00:00,605.7995
2026-02-23T20:02:07+00:00,605.8992
2026-02-23T20:02:08+00:00,606.3833
2026-02-23T20:02:09+00:00,605.2832
2026-02-23T20:02:10+00:00,605.7471
2026-02-23T20:02:11+00:00,605.5389
2026-02-23T20:02:12+00:00,606.0566
2026-02-23T20:02:13+00:00,607.5033
2026-02-23T20:02:14+00:00,606.7356
2026-02-23T20:02:15+00:00,605.4437
2026-02-23T20:02:16+00:00,606.3727
2026-02-23T20:02:17+00:00,605.1166
2026-02-23T20:02:18+00:00,604.8784
2026-02-23T20:02:19+00:00,605.9731
2026-02-23T20:02:20+00:00,605.1346
2026-02-23T20:02:21+00:00,605.3638
2026-02-23T20:02:22+00:00,607.5802
2026-02-23T20:02:23+00:00,606.1372
2026-02-23T20:02:24+00:00,605.1940
2026-02-23T20:02:25+00:00,605.9032
2026-02-23T20:02:26+00:00,606.4149
2026-02-23T20:02:27+00:00,605.6820
2026-02-23T20:02:28+00:00,604.5412
2026-02-23T20:02:29+00:00,605.3974
2026-02-23T20:02:30+00:00,605.0086
2026-02-23T20:02:31+00:00,604.9899
2026-02-23T20:02:32+00:00,605.3488
2026-02-23T20:02:33+00:00,605.2126
