ts_utc,gpu_index,gpu_name,gpu_uuid,temp_c,power_w,power_limit_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_clock_mhz,mem_used_mb,mem_total_mb,pstate,ts,iters_per_sec,perf_per_watt
2026-02-23T19:57:41+00:00,0,,,29,75.757,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:41+00:00,,
2026-02-23T19:57:42+00:00,0,,,29,75.725,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:42+00:00,,
2026-02-23T19:57:43+00:00,0,,,29,75.768,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:43+00:00,,
2026-02-23T19:57:44+00:00,0,,,29,75.779,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:44+00:00,,
2026-02-23T19:57:45+00:00,0,,,29,75.745,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:45+00:00,,
2026-02-23T19:57:46+00:00,0,,,29,75.667,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:46+00:00,,
2026-02-23T19:57:47+00:00,0,,,29,75.726,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:47+00:00,,
2026-02-23T19:57:48+00:00,0,,,29,75.732,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:48+00:00,,
2026-02-23T19:57:49+00:00,0,,,29,75.728,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:49+00:00,,
2026-02-23T19:57:50+00:00,0,,,29,75.724,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:50+00:00,,
2026-02-23T19:57:51+00:00,0,,,29,75.755,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:51+00:00,,
2026-02-23T19:57:52+00:00,0,,,29,75.755,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:52+00:00,,
2026-02-23T19:57:53+00:00,0,,,29,75.704,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:53+00:00,,
2026-02-23T19:57:54+00:00,0,,,29,75.766,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:54+00:00,,
2026-02-23T19:57:55+00:00,0,,,29,75.753,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:55+00:00,,
2026-02-23T19:57:56+00:00,0,,,29,75.757,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:56+00:00,,
2026-02-23T19:57:57+00:00,0,,,29,75.71,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:57+00:00,,
2026-02-23T19:57:58+00:00,0,,,29,75.779,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:58+00:00,,
2026-02-23T19:57:59+00:00,0,,,29,75.726,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:57:59+00:00,,
2026-02-23T19:58:00+00:00,0,,,29,75.664,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:00+00:00,,
2026-02-23T19:58:01+00:00,0,,,29,75.783,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:01+00:00,,
2026-02-23T19:58:02+00:00,0,,,29,75.717,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:02+00:00,,
2026-02-23T19:58:03+00:00,0,,,29,75.718,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:03+00:00,,
2026-02-23T19:58:04+00:00,0,,,29,75.78,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:04+00:00,,
2026-02-23T19:58:05+00:00,0,,,29,75.751,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:05+00:00,,
2026-02-23T19:58:06+00:00,0,,,29,75.689,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:06+00:00,,
2026-02-23T19:58:07+00:00,0,,,29,75.703,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:07+00:00,,
2026-02-23T19:58:08+00:00,0,,,29,75.689,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:08+00:00,,
2026-02-23T19:58:09+00:00,0,,,29,75.725,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:09+00:00,,
2026-02-23T19:58:10+00:00,0,,,29,75.763,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:10+00:00,,
2026-02-23T19:58:11+00:00,0,,,29,75.749,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:11+00:00,,
2026-02-23T19:58:12+00:00,0,,,29,75.74,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:12+00:00,,
2026-02-23T19:58:13+00:00,0,,,29,75.708,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:13+00:00,,
2026-02-23T19:58:14+00:00,0,,,29,75.787,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:14+00:00,,
2026-02-23T19:58:15+00:00,0,,,29,75.733,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:15+00:00,,
2026-02-23T19:58:16+00:00,0,,,29,75.826,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:16+00:00,,
2026-02-23T19:58:17+00:00,0,,,29,75.741,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:17+00:00,,
2026-02-23T19:58:18+00:00,0,,,29,75.782,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:18+00:00,,
2026-02-23T19:58:19+00:00,0,,,29,75.769,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:19+00:00,,
2026-02-23T19:58:20+00:00,0,,,29,75.763,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:20+00:00,,
2026-02-23T19:58:21+00:00,0,,,29,75.754,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:21+00:00,,
2026-02-23T19:58:22+00:00,0,,,29,75.747,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:22+00:00,,
2026-02-23T19:58:23+00:00,0,,,29,75.777,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:23+00:00,,
2026-02-23T19:58:24+00:00,0,,,29,75.763,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:24+00:00,,
2026-02-23T19:58:25+00:00,0,,,29,75.725,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:25+00:00,,
2026-02-23T19:58:26+00:00,0,,,29,75.777,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:26+00:00,,
2026-02-23T19:58:27+00:00,0,,,29,75.808,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:27+00:00,,
2026-02-23T19:58:28+00:00,0,,,29,75.724,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:28+00:00,,
2026-02-23T19:58:29+00:00,0,,,29,75.751,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:29+00:00,,
2026-02-23T19:58:30+00:00,0,,,29,75.806,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 19:58:30+00:00,,
