ts_utc,iters_per_sec
2026-02-23T19:48:10+00:00,1128.7594
2026-02-23T19:48:11+00:00,614.6465
2026-02-23T19:48:12+00:00,614.1826
2026-02-23T19:48:13+00:00,613.6717
2026-02-23T19:48:14+00:00,614.2579
2026-02-23T19:48:15+00:00,610.0173
2026-02-23T19:48:16+00:00,610.1609
2026-02-23T19:48:17+00:00,609.9475
2026-02-23T19:48:18+00:00,610.3979
2026-02-23T19:48:19+00:00,608.9731
2026-02-23T19:48:20+00:00,610.6107
2026-02-23T19:48:21+00:00,608.8009
2026-02-23T19:48:22+00:00,610.8184
2026-02-23T19:48:23+00:00,607.3653
2026-02-23T19:48:24+00:00,608.8239
2026-02-23T19:48:25+00:00,609.2757
2026-02-23T19:48:26+00:00,608.5159
2026-02-23T19:48:27+00:00,608.7775
2026-02-23T19:48:28+00:00,607.5217
2026-02-23T19:48:29+00:00,606.0012
2026-02-23T19:48:30+00:00,608.4606
2026-02-23T19:48:31+00:00,607.5925
2026-02-23T19:48:32+00:00,607.0718
2026-02-23T19:48:33+00:00,608.0205
2026-02-23T19:48:34+00:00,606.2488
2026-02-23T19:48:35+00:00,606.7286
2026-02-23T19:48:36+00:00,607.2314
2026-02-23T19:48:37+00:00,605.4875
2026-02-23T19:48:38+00:00,606.8040
2026-02-23T19:48:39+00:00,606.0407
2026-02-23T19:48:40+00:00,607.2091
2026-02-23T19:48:41+00:00,605.5285
2026-02-23T19:48:42+00:00,605.5396
2026-02-23T19:48:43+00:00,606.4383
2026-02-23T19:48:44+00:00,608.4759
2026-02-23T19:48:45+00:00,605.7862
2026-02-23T19:48:46+00:00,605.8830
2026-02-23T19:48:47+00:00,605.9120
2026-02-23T19:48:48+00:00,609.1051
2026-02-23T19:48:49+00:00,607.7500
2026-02-23T19:48:50+00:00,606.8928
2026-02-23T19:48:51+00:00,610.0237
2026-02-23T19:48:52+00:00,607.1636
2026-02-23T19:48:53+00:00,607.2334
2026-02-23T19:48:54+00:00,607.0240
2026-02-23T19:48:55+00:00,606.1637
2026-02-23T19:48:56+00:00,607.0124
2026-02-23T19:48:57+00:00,606.6705
2026-02-23T19:48:58+00:00,605.9938
2026-02-23T19:48:59+00:00,605.8675
2026-02-23T19:49:00+00:00,607.9813
2026-02-23T19:49:01+00:00,607.2697
2026-02-23T19:49:02+00:00,605.3587
2026-02-23T19:49:03+00:00,605.8093
2026-02-23T19:49:04+00:00,606.6031
2026-02-23T19:49:05+00:00,607.1014
2026-02-23T19:49:06+00:00,606.0882
2026-02-23T19:49:07+00:00,607.1250
2026-02-23T19:49:08+00:00,606.3165
2026-02-23T19:49:09+00:00,605.7057
2026-02-23T19:49:10+00:00,606.0264
2026-02-23T19:49:11+00:00,605.9549
2026-02-23T19:49:12+00:00,605.7976
2026-02-23T19:49:13+00:00,605.9801
2026-02-23T19:49:14+00:00,606.5021
2026-02-23T19:49:15+00:00,605.8236
2026-02-23T19:49:16+00:00,605.7066
2026-02-23T19:49:17+00:00,606.4454
2026-02-23T19:49:18+00:00,605.9637
2026-02-23T19:49:19+00:00,606.2513
2026-02-23T19:49:20+00:00,605.6342
2026-02-23T19:49:21+00:00,605.6012
2026-02-23T19:49:22+00:00,606.5767
2026-02-23T19:49:23+00:00,605.2009
2026-02-23T19:49:24+00:00,605.9387
2026-02-23T19:49:25+00:00,606.2246
2026-02-23T19:49:26+00:00,605.3717
2026-02-23T19:49:27+00:00,606.2956
2026-02-23T19:49:28+00:00,605.5056
2026-02-23T19:49:29+00:00,605.2849
2026-02-23T19:49:30+00:00,604.9602
2026-02-23T19:49:31+00:00,605.3171
2026-02-23T19:49:32+00:00,606.0259
2026-02-23T19:49:33+00:00,606.7831
2026-02-23T19:49:34+00:00,605.0724
2026-02-23T19:49:35+00:00,605.4884
2026-02-23T19:49:36+00:00,606.1287
2026-02-23T19:49:37+00:00,605.3449
2026-02-23T19:49:38+00:00,604.9756
2026-02-23T19:49:39+00:00,606.0352
2026-02-23T19:49:40+00:00,605.2250
2026-02-23T19:49:41+00:00,605.2828
2026-02-23T19:49:42+00:00,605.7438
2026-02-23T19:49:43+00:00,605.4614
2026-02-23T19:49:44+00:00,605.8782
2026-02-23T19:49:45+00:00,604.6799
2026-02-23T19:49:46+00:00,606.3812
2026-02-23T19:49:47+00:00,606.0746
2026-02-23T19:49:48+00:00,605.1055
2026-02-23T19:49:49+00:00,605.9450
2026-02-23T19:49:50+00:00,605.4577
2026-02-23T19:49:51+00:00,604.9935
2026-02-23T19:49:52+00:00,605.8788
2026-02-23T19:49:53+00:00,605.0531
2026-02-23T19:49:54+00:00,605.2957
2026-02-23T19:49:55+00:00,605.0496
2026-02-23T19:49:56+00:00,604.7589
2026-02-23T19:49:57+00:00,605.8132
2026-02-23T19:49:58+00:00,604.8791
2026-02-23T19:49:59+00:00,604.8601
2026-02-23T19:50:00+00:00,604.8885
2026-02-23T19:50:01+00:00,604.6906
2026-02-23T19:50:02+00:00,604.9116
2026-02-23T19:50:03+00:00,605.5422
2026-02-23T19:50:04+00:00,605.0607
2026-02-23T19:50:05+00:00,604.8502
2026-02-23T19:50:06+00:00,605.1707
2026-02-23T19:50:07+00:00,605.7002
2026-02-23T19:50:08+00:00,605.2446
2026-02-23T19:50:09+00:00,605.7034
2026-02-23T19:50:10+00:00,605.1554
2026-02-23T19:50:11+00:00,605.7444
2026-02-23T19:50:12+00:00,605.6330
2026-02-23T19:50:13+00:00,604.8275
2026-02-23T19:50:14+00:00,606.1707
2026-02-23T19:50:15+00:00,605.2038
2026-02-23T19:50:16+00:00,605.4617
2026-02-23T19:50:17+00:00,604.9749
2026-02-23T19:50:18+00:00,605.1015
2026-02-23T19:50:19+00:00,605.3866
2026-02-23T19:50:20+00:00,605.7471
2026-02-23T19:50:21+00:00,605.4862
2026-02-23T19:50:22+00:00,606.2117
2026-02-23T19:50:23+00:00,606.4186
2026-02-23T19:50:24+00:00,604.9567
2026-02-23T19:50:25+00:00,605.4395
2026-02-23T19:50:26+00:00,605.9549
2026-02-23T19:50:27+00:00,604.8569
2026-02-23T19:50:28+00:00,605.5521
2026-02-23T19:50:29+00:00,605.5747
2026-02-23T19:50:30+00:00,606.6818
2026-02-23T19:50:31+00:00,605.7268
2026-02-23T19:50:32+00:00,605.9513
2026-02-23T19:50:33+00:00,605.1035
2026-02-23T19:50:34+00:00,604.8907
2026-02-23T19:50:35+00:00,604.4920
2026-02-23T19:50:36+00:00,605.2957
2026-02-23T19:50:37+00:00,604.7550
2026-02-23T19:50:38+00:00,606.0810
2026-02-23T19:50:39+00:00,605.7858
2026-02-23T19:50:40+00:00,605.1397
2026-02-23T19:50:41+00:00,604.6465
2026-02-23T19:50:42+00:00,604.8123
2026-02-23T19:50:43+00:00,605.0658
2026-02-23T19:50:44+00:00,605.6637
2026-02-23T19:50:45+00:00,605.6659
2026-02-23T19:50:46+00:00,606.7761
2026-02-23T19:50:47+00:00,604.8926
2026-02-23T19:50:48+00:00,604.8656
2026-02-23T19:50:49+00:00,605.3168
2026-02-23T19:50:50+00:00,604.8451
2026-02-23T19:50:51+00:00,606.0816
2026-02-23T19:50:52+00:00,605.6693
2026-02-23T19:50:53+00:00,604.9720
2026-02-23T19:50:54+00:00,604.8989
2026-02-23T19:50:55+00:00,606.2340
2026-02-23T19:50:56+00:00,604.7109
2026-02-23T19:50:57+00:00,605.3257
2026-02-23T19:50:58+00:00,605.0825
2026-02-23T19:50:59+00:00,604.8176
2026-02-23T19:51:00+00:00,605.0056
2026-02-23T19:51:01+00:00,604.8742
2026-02-23T19:51:02+00:00,605.0190
2026-02-23T19:51:03+00:00,605.1894
2026-02-23T19:51:04+00:00,605.8221
2026-02-23T19:51:05+00:00,605.4350
2026-02-23T19:51:06+00:00,605.0436
2026-02-23T19:51:07+00:00,604.8476
2026-02-23T19:51:08+00:00,605.8005
2026-02-23T19:51:09+00:00,604.7027
2026-02-23T19:51:10+00:00,605.5988
2026-02-23T19:51:11+00:00,605.1927
2026-02-23T19:51:12+00:00,605.0669
2026-02-23T19:51:13+00:00,605.8089
2026-02-23T19:51:14+00:00,605.6633
2026-02-23T19:51:15+00:00,606.5125
2026-02-23T19:51:16+00:00,606.3837
2026-02-23T19:51:17+00:00,605.0096
2026-02-23T19:51:18+00:00,605.0822
2026-02-23T19:51:19+00:00,605.4169
2026-02-23T19:51:20+00:00,604.8229
2026-02-23T19:51:21+00:00,605.2613
2026-02-23T19:51:22+00:00,604.7761
2026-02-23T19:51:23+00:00,605.5509
2026-02-23T19:51:24+00:00,604.6276
2026-02-23T19:51:25+00:00,605.9249
2026-02-23T19:51:26+00:00,604.5952
2026-02-23T19:51:27+00:00,604.9569
2026-02-23T19:51:28+00:00,604.7762
2026-02-23T19:51:29+00:00,605.1941
2026-02-23T19:51:30+00:00,606.8245
2026-02-23T19:51:31+00:00,606.0691
2026-02-23T19:51:32+00:00,604.8088
2026-02-23T19:51:33+00:00,604.6576
2026-02-23T19:51:34+00:00,606.5656
2026-02-23T19:51:35+00:00,605.6578
2026-02-23T19:51:36+00:00,604.9563
2026-02-23T19:51:37+00:00,604.8484
2026-02-23T19:51:38+00:00,605.6686
2026-02-23T19:51:39+00:00,605.7639
2026-02-23T19:51:40+00:00,605.1910
2026-02-23T19:51:41+00:00,604.7187
2026-02-23T19:51:42+00:00,604.6032
2026-02-23T19:51:43+00:00,604.7583
2026-02-23T19:51:44+00:00,604.8695
2026-02-23T19:51:45+00:00,606.0625
2026-02-23T19:51:46+00:00,604.3975
2026-02-23T19:51:47+00:00,604.6628
2026-02-23T19:51:48+00:00,605.5840
2026-02-23T19:51:49+00:00,604.7805
2026-02-23T19:51:50+00:00,606.1335
2026-02-23T19:51:51+00:00,605.3600
2026-02-23T19:51:52+00:00,604.8270
2026-02-23T19:51:53+00:00,606.0351
2026-02-23T19:51:54+00:00,605.3263
2026-02-23T19:51:55+00:00,604.7816
2026-02-23T19:51:56+00:00,605.0952
2026-02-23T19:51:57+00:00,605.9986
2026-02-23T19:51:58+00:00,606.0878
2026-02-23T19:51:59+00:00,605.7308
2026-02-23T19:52:00+00:00,604.9746
2026-02-23T19:52:01+00:00,604.5837
2026-02-23T19:52:02+00:00,605.0969
2026-02-23T19:52:03+00:00,604.9908
2026-02-23T19:52:04+00:00,605.8203
2026-02-23T19:52:06+00:00,605.0655
2026-02-23T19:52:07+00:00,605.1280
2026-02-23T19:52:08+00:00,604.8154
2026-02-23T19:52:09+00:00,605.0312
2026-02-23T19:52:10+00:00,604.4282
2026-02-23T19:52:11+00:00,605.0612
2026-02-23T19:52:12+00:00,604.9344
2026-02-23T19:52:13+00:00,605.1463
2026-02-23T19:52:14+00:00,605.1839
2026-02-23T19:52:15+00:00,604.9520
2026-02-23T19:52:16+00:00,605.0285
2026-02-23T19:52:17+00:00,605.1652
2026-02-23T19:52:18+00:00,604.7491
2026-02-23T19:52:19+00:00,604.9422
2026-02-23T19:52:20+00:00,604.6022
2026-02-23T19:52:21+00:00,606.0038
2026-02-23T19:52:22+00:00,604.7102
2026-02-23T19:52:23+00:00,606.8317
2026-02-23T19:52:24+00:00,605.4920
2026-02-23T19:52:25+00:00,605.1952
2026-02-23T19:52:26+00:00,605.0950
2026-02-23T19:52:27+00:00,605.4174
2026-02-23T19:52:28+00:00,607.9952
2026-02-23T19:52:29+00:00,605.0125
2026-02-23T19:52:30+00:00,605.5370
2026-02-23T19:52:31+00:00,605.6332
2026-02-23T19:52:32+00:00,605.5719
2026-02-23T19:52:33+00:00,604.6374
2026-02-23T19:52:34+00:00,604.9099
2026-02-23T19:52:35+00:00,605.5123
2026-02-23T19:52:36+00:00,604.5395
2026-02-23T19:52:37+00:00,604.6001
2026-02-23T19:52:38+00:00,604.5378
2026-02-23T19:52:39+00:00,605.2734
2026-02-23T19:52:40+00:00,605.9302
2026-02-23T19:52:41+00:00,604.5840
2026-02-23T19:52:42+00:00,606.0034
2026-02-23T19:52:43+00:00,605.0292
2026-02-23T19:52:44+00:00,604.7193
2026-02-23T19:52:45+00:00,605.6993
2026-02-23T19:52:46+00:00,605.2378
2026-02-23T19:52:47+00:00,604.6135
2026-02-23T19:52:48+00:00,604.8027
2026-02-23T19:52:49+00:00,605.1502
2026-02-23T19:52:50+00:00,605.4647
2026-02-23T19:52:51+00:00,606.9263
2026-02-23T19:52:52+00:00,605.1640
2026-02-23T19:52:53+00:00,604.3772
2026-02-23T19:52:54+00:00,604.7569
2026-02-23T19:52:55+00:00,604.8432
2026-02-23T19:52:56+00:00,605.6881
2026-02-23T19:52:57+00:00,606.4298
2026-02-23T19:52:58+00:00,604.9974
2026-02-23T19:52:59+00:00,604.2255
2026-02-23T19:53:00+00:00,606.0272
2026-02-23T19:53:01+00:00,605.0291
2026-02-23T19:53:02+00:00,604.6226
2026-02-23T19:53:03+00:00,605.6477
2026-02-23T19:53:04+00:00,604.7421
2026-02-23T19:53:05+00:00,605.0798
2026-02-23T19:53:06+00:00,605.5481
2026-02-23T19:53:07+00:00,605.0473
2026-02-23T19:53:08+00:00,604.7376
2026-02-23T19:53:09+00:00,604.7912
